"10.40000","0.86812","0.53913"
"10.50000","0.87646","0.54469"
"10.60000","0.88479","0.54806"
"10.70000","0.89312","0.55161"
"10.80000","0.90146","0.55687"
"10.90000","0.90979","0.56020"
"11.00000","0.91854","0.56376"
"11.10000","0.92667","0.56768"
"11.20000","0.93479","0.57072"
"11.30000","0.94271","0.57421"
"11.40000","0.95125","0.57885"
"11.50000","0.95958","0.58261"
"11.60000","0.96792","0.58700"
"11.70000","0.97625","0.59169"
"11.80000","0.98458","0.59415"
"11.90000","0.99292","0.59939"
"12.00000","1.00146","0.60228"
"12.10000","1.00979","0.60638"
"12.20000","1.01792","0.61014"
"12.30000","1.02646","0.61451"
"12.40000","1.03479","0.61809"
"12.50000","1.04312","0.62174"
"12.60000","1.05146","0.62511"
"12.70000","1.05937","0.62791"
"12.80000","1.06792","0.63220"
"12.90000","1.07646","0.63713"
"13.00000","1.08500","0.63940"
"13.10000","1.09312","0.64263"
"13.20000","1.10104","0.64670"
"13.30000","1.10958","0.65029"
"13.40000","1.11833","0.65429"
"13.50000","1.12687","0.65827"
"13.60000","1.13479","0.66183"
"13.70000","1.14292","0.66477"
"13.80000","1.15125","0.66729"
"13.90000","1.15958","0.67199"
"14.00000","1.16792","0.67416"
"14.10000","1.17604","0.67959"
"14.20000","1.18437","0.68141"
"14.30000","1.19292","0.68501"
"14.40000","1.20167","0.68894"
"14.50000","1.20979","0.69127"
"14.60000","1.21792","0.69521"
"14.70000","1.22604","0.69859"
"14.80000","1.23479","0.70178"
"14.90000","1.24333","0.70589"
"15.00000","1.25167","0.70871"
"15.10000","1.25937","0.71195"
"15.20000","1.26771","0.71498"
"15.30000","1.27646","0.71942"
"15.40000","1.28521","0.72302"
"15.50000","1.29333","0.72575"
"15.60000","1.30104","0.72855"
"15.70000","1.30937","0.73150"
"15.80000","1.31812","0.73698"
"15.90000","1.32708","0.73833"
"16.00000","1.33500","0.74260"
"16.10000","1.34292","0.74446"
"16.20000","1.35125","0.74798"
"16.30000","1.35958","0.75223"
"16.40000","1.36812","0.75423"
"16.50000","1.37625","0.75792"
"16.60000","1.38437","0.76090"
"16.70000","1.39271","0.76433"
"16.80000","1.40146","0.76851"
"16.90000","1.41000","0.77166"
"17.00000","1.41792","0.77561"
"17.10000","1.42604","0.77819"
"17.20000","1.43437","0.78060"
"17.30000","1.44333","0.78490"
"17.40000","1.45167","0.78720"
"17.50000","1.45979","0.79023"
"17.60000","1.46771","0.79348"
"17.70000","1.47625","0.79662"
"17.80000","1.48500","0.80044"
"17.90000","1.49333","0.80259"
"18.00000","1.50146","0.80481"
"18.10000","1.50937","0.80805"
"18.20000","1.51792","0.81226"
"18.30000","1.52667","0.81480"
"18.40000","1.53521","0.81783"
"18.50000","1.54333","0.82015"
"18.60000","1.55125","0.82258"
"18.70000","1.55958","0.82602"
"18.80000","1.56812","0.82898"
"18.90000","1.57625","0.83223"
"19.00000","1.58458","0.83493"
"19.10000","1.59271","0.83724"
"19.20000","1.60125","0.84155"
"19.30000","1.60979","0.84331"
"19.40000","1.61833","0.84638"
"19.50000","1.62646","0.84906"
"19.60000","1.63458","0.85255"
"19.70000","1.64292","0.85421"
"19.80000","1.65167","0.85817"
"19.90000","1.66000","0.85980"
"20.00000","1.66812","0.86421"
"20.10000","1.67646","0.86680"
"20.20000","1.68479","0.86962"
"20.30000","1.69312","0.87137"
"20.40000","1.70146","0.87460"
"20.50000","1.70979","0.87859"
"20.60000","1.71812","0.88094"
"20.70000","1.72625","0.88510"
"20.80000","1.73458","0.88608"
"20.90000","1.74312","0.88973"
"21.00000","1.75167","0.89251"
"21.10000","1.75979","0.89516"
"21.20000","1.76792","0.89859"
"21.30000","1.77625","0.90153"
"21.40000","1.78458","0.90470"
"21.50000","1.79312","0.90763"
"21.60000","1.80125","0.91107"
"21.70000","1.80958","0.91320"
"21.80000","1.81792","0.91546"
"21.90000","1.82646","0.91911"
"22.00000","1.83479","0.92144"
